government,id,country_code,country_name,iso3c,un,wb,continent,region,eu27,un_global_code,un_global_name,un_region_code,un_region_name,un_sub_region_code,un_sub_region_name,un_intermediate_region_code,un_intermediate_region_name,un_country_or_area,un_m49_code,un_least_developed_countries_ldc,un_land_locked_developing_countries_lldc,un_small_island_developing_states_sids,un_developed_or_developing_countries
za,ircc_1,ZA,South Africa,ZAF,710,ZAF,Africa,Southern Africa,NA,1,World,2,Africa,202,Sub-Saharan Africa,18,Southern Africa,South Africa,710,NA,NA,NA,Developing
gt,ircc_2,GT,Guatemala,GTM,320,GTM,Americas,Central America,NA,1,World,19,Americas,419,Latin America and the Caribbean,13,Central America,Guatemala,320,NA,NA,NA,Developing
es,ircc_3,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
es,ircc_4,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
es,ircc_5,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
es,ircc_6,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
es,ircc_7,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
es,ircc_8,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
in,ircc_9,IN,India,IND,356,IND,Asia,Southern Asia,NA,1,World,142,Asia,34,Southern Asia,NA,NA,India,356,NA,NA,NA,Developing
in,ircc_10,IN,India,IND,356,IND,Asia,Southern Asia,NA,1,World,142,Asia,34,Southern Asia,NA,NA,India,356,NA,NA,NA,Developing
in,ircc_11,IN,India,IND,356,IND,Asia,Southern Asia,NA,1,World,142,Asia,34,Southern Asia,NA,NA,India,356,NA,NA,NA,Developing
es,ircc_12,ES,Spain,ESP,724,ESP,Europe,Southern Europe,NA,1,World,150,Europe,39,Southern Europe,NA,NA,Spain,724,NA,NA,NA,Developed
