date_of_issuance,date_of_expiry,providers_confidential,entities_to_whom_pic_granted_confidential,subject_matter_confidential,pic_granted,mat_established,notes,amendment_intent,usages_confidential,id,year_of_issuance,year_of_expiry
2015-02-23,2020-02-22,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,ircc_1,2015,2020
2015-10-09,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_2,2015,NA
2018-02-23,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_3,2018,NA
2018-05-16,2020-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_4,2018,2020
2018-04-19,2018-09-30,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_5,2018,2018
2018-05-05,2018-06-08,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_6,2018,2018
2018-05-24,2021-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_7,2018,2021
2018-01-12,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_8,2018,NA
2018-01-09,NA,NA,NA,NA,TRUE,TRUE,updated on 16.04.2018,NA,NA,ircc_9,2018,NA
2018-01-03,NA,NA,NA,NA,TRUE,TRUE,updated on 17.04.2018,NA,NA,ircc_10,2018,NA
2016-12-23,NA,NA,NA,NA,TRUE,TRUE,updated on 17.04.2018,NA,NA,ircc_11,2016,NA
2017-12-21,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_12,2017,NA
2018-07-05,2018-07-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_13,2018,2018
2018-07-13,2018-08-16,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_14,2018,2018
2018-09-12,2019-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_15,2018,2019
2018-09-17,2018-03-06,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_16,2018,2018
2018-07-05,2018-07-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_17,2018,2018
2018-07-20,2018-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_18,2018,2018
2017-05-03,2019-05-03,TRUE,FALSE,NA,TRUE,TRUE,NA,NA,NA,ircc_19,2017,2019
2018-06-25,2019-06-25,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_20,2018,2019
2018-06-25,2019-06-25,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_21,2018,2019
2018-09-17,2019-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_22,2018,2019
2018-06-29,2020-06-29,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_23,2018,2020
2018-10-08,2020-09-30,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_24,2018,2020
2018-10-11,2018-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_25,2018,2018
2018-03-23,2018-07-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_26,2018,2018
2015-12-22,NA,NA,NA,NA,TRUE,TRUE,updated on 16.10.2017,NA,NA,ircc_27,2015,NA
2018-10-08,2019-03-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_28,2018,2019
2017-06-21,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_29,2017,NA
2015-12-21,NA,NA,NA,NA,TRUE,TRUE,updated on 11.07.2017,NA,NA,ircc_30,2015,NA
2017-08-10,2019-08-10,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_31,2017,2019
2017-07-18,NA,FALSE,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_32,2017,NA
2016-11-17,NA,NA,NA,NA,TRUE,TRUE,updated on 11.07.2017,NA,NA,ircc_33,2016,NA
2015-07-15,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,0,NA,ircc_34,2015,NA
2016-11-24,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_35,2016,NA
2018-12-19,2019-03-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_36,2018,2019
2018-12-19,2019-02-28,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_37,2018,2019
2018-12-19,2021-12-21,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_38,2018,2021
2019-02-04,2019-12-31,NA,TRUE,NA,TRUE,TRUE,NA,0,NA,ircc_39,2019,2019
2018-11-19,2021-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_40,2018,2021
2019-01-11,2022-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_41,2019,2022
2018-12-17,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,ircc_42,2018,NA
2018-11-09,NA,NA,FALSE,FALSE,TRUE,TRUE,Updated on 20.09.2019,NA,TRUE,ircc_43,2018,NA
2019-01-18,NA,NA,NA,NA,TRUE,TRUE,Updated on 21.09.2019,NA,NA,ircc_44,2019,NA
2019-05-30,NA,NA,NA,TRUE,TRUE,TRUE,Updated on 21.09.2019,NA,NA,ircc_45,2019,NA
2019-09-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_46,2019,NA
2019-09-23,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_47,2019,NA
2019-09-20,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_48,2019,NA
2019-09-23,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_49,2019,NA
2019-10-29,NA,NA,NA,NA,TRUE,TRUE,Updated on 6.11.2019,NA,NA,ircc_50,2019,NA
2016-12-01,NA,NA,NA,FALSE,TRUE,TRUE,updated on 14.09.2019,NA,TRUE,ircc_51,2016,NA
2019-09-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_52,2019,NA
2019-12-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_53,2019,NA
2019-12-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_54,2019,NA
2019-12-26,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_55,2019,NA
2019-11-16,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_56,2019,NA
2019-09-20,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_57,2019,NA
2019-12-26,NA,NA,NA,NA,TRUE,TRUE,Updated on 14.05.2020,NA,NA,ircc_58,2019,NA
2019-09-20,NA,NA,NA,TRUE,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_59,2019,NA
2019-09-20,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_60,2019,NA
2019-09-23,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_61,2019,NA
2019-12-26,NA,NA,NA,NA,TRUE,TRUE,Updated on 14.05.2020,NA,NA,ircc_62,2019,NA
2019-06-13,2019-12-31,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,ircc_63,2019,2019
2016-12-23,NA,NA,NA,NA,TRUE,TRUE,Updated on 16.09.2019,NA,NA,ircc_64,2016,NA
2018-03-14,NA,NA,NA,NA,TRUE,TRUE,Updated on 20.09.2019,NA,NA,ircc_65,2018,NA
2018-11-09,NA,NA,NA,NA,TRUE,TRUE,Updated on 23.09.2019,NA,TRUE,ircc_66,2018,NA
2019-01-25,NA,NA,NA,NA,TRUE,TRUE,Updated on 21.09.2019,NA,NA,ircc_67,2019,NA
2018-12-06,NA,NA,NA,TRUE,TRUE,TRUE,Updated on 23.09.2019,NA,NA,ircc_68,2018,NA
2018-11-09,NA,NA,NA,NA,TRUE,TRUE,Updated on 23.09.2019,NA,NA,ircc_69,2018,NA
2018-02-10,NA,NA,NA,NA,TRUE,TRUE,updated on 23.09.2019,NA,NA,ircc_70,2018,NA
2019-05-30,NA,NA,NA,NA,TRUE,TRUE,Updated on 21.09.2019,NA,NA,ircc_71,2019,NA
2019-01-02,NA,NA,NA,NA,TRUE,TRUE,Updated on 23.09.2019,NA,NA,ircc_72,2019,NA
2018-01-12,NA,NA,NA,NA,TRUE,TRUE,updated on 21.09.2019,NA,NA,ircc_73,2018,NA
2019-03-12,NA,NA,NA,FALSE,TRUE,TRUE,Updated on 23.09.2019,NA,TRUE,ircc_74,2019,NA
2019-09-22,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_75,2019,NA
2019-09-22,NA,NA,FALSE,FALSE,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_76,2019,NA
2020-01-03,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_77,2020,NA
2019-09-23,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_78,2019,NA
2019-04-29,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_79,2019,NA
2018-01-10,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_80,2018,NA
2019-12-26,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_81,2019,NA
2019-12-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_82,2019,NA
2019-09-20,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_83,2019,NA
2019-09-20,NA,NA,NA,TRUE,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_84,2019,NA
2019-09-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_85,2019,NA
2019-09-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_86,2019,NA
2019-09-16,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_87,2019,NA
2019-12-26,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,TRUE,ircc_88,2019,NA
2018-05-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_89,2018,NA
2019-12-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.5.2020,NA,NA,ircc_90,2019,NA
2019-10-25,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_91,2019,NA
2019-09-17,NA,NA,NA,NA,TRUE,TRUE,Updated on 15.05.2020,NA,NA,ircc_92,2019,NA
