id,text,lang
ircc_738,Insects,en
ircc_740,Birds,en
ircc_749,Insects,en
ircc_795,Insects,en
ircc_801,Gene,en
ircc_886,Milk Powder,en
ircc_911,Milk,en
ircc_1068,Pectin,en
ircc_1106,Honey,en
ircc_1109,Associated or Traditional Knowledge on animals.,en
ircc_1117,"Milk, Cream, Vegetable oil",en
ircc_1166,Milk,en
ircc_1186,"Sugar, Yogurt",en
ircc_1214,Chitosan,en
ircc_1226,"Milk, Starch, Cellulose",en
ircc_1280,Propolis,en
ircc_1322,"Starch, Sucrose, Glucose, Dextrose",en
ircc_1334,Chitin,en
ircc_1412,Restaurent Grease,en
ircc_1585,"saw dust, oil",en
ircc_1589,Milk,en
ircc_1636,Synthetic curcumin,en
ircc_1639,Powder,en
ircc_1646,Mineral mix,en
ircc_2004,"Binary vector, Promotor",en
ircc_2008,Artificially synthesized DNA,en
ircc_2233,Human and mouse cell lines,en
ircc_2264,Butter,en
ircc_2406,Honey,en
ircc_2429,"Milk, Honey",en
ircc_2430,"Milk powder, Corn starch",en
ircc_2441,Chitin and Chitosan,en
ircc_2455,"Vermicompost, Cow dung and Farm Waste",en
ircc_2458,"Honey, bee wax",en
ircc_2467,Honey,en
ircc_2493,Honey,en
ircc_2514,Inulin,en
ircc_2572,Mineral Oil,en
ircc_2646,"Plasmid vector, Short oligonucleotides",en
ircc_2756,DNA,en
ircc_2886,seaweeds,en
ircc_2962,Cell lines,en
ircc_2974,Lichen,en
ircc_3240,milk based products,en
ircc_3562,Biomarkers,en
ircc_3644,Animal Prodcuts,en
ircc_3776,Vermicompost,en
ircc_3928,Insects,en
ircc_4034,Insects,en
ircc_4158,DNA samples,en
ircc_4306,Honey,en
ircc_962,Flora - activo cosmetico Eugenia uniflora,es
ircc_964,Fauna - taxonomia - zorro gris Lycalopex gymnocercus,es
ircc_965,Microorganismos,es
ircc_966,Fauna Taxonomia molecular Gasteropodos,es
ircc_967,Fauna,es
ircc_968,Microorganismos,es
ircc_970,Microorganismos,es
ircc_971,Microorganismos - Fungi - Nothofagus,es
ircc_972,Fauna - Monos Caí Negros (Sapajus nigritus) y parasitos asociados,es
ircc_973,Microorganismos - Fungi - Nothofagus,es
