id,text,lang
ircc_1,"HG&H Pharmaceuticals (Pty) Ltd acknowledges the fundamental role played by traditional knowledge associated with Sceletium tortuosum as a departure point for new product discovery and innovation. This acknowledgement was formalized through a benefit-sharing agreement with the South African San Council and the Nama Community. All money due to the South African San Council and the Nama Community in terms of a concluded benefit sharing agreement must be paid into the Bioprospecting Trust Fund, as required by section 85 (1) of the Act.",en
ircc_2,"Benefits derived from the utilization of genetic resources of Mahagony and Ceder on forest concession in Maya Biosphere Reserve: - Complete acces to the data base - Ex situ follow up to the procedure, evaluate the procedures to be carried out within the framework of the project in order to verify the quality of procedures as DNA extraction, ampliation and sequenciation -Transference of capacities -Acces to scientific information relevant for the conservation and sustainable use of the biological diversity -Disclosure of information -Deposit of three copies of the research work &#10;&#9;&#9;",en
ircc_9,1. The user shall notify the NBA within 6 months from the date of grant of IPR. 2. The user shall pay 2% of the net revenue (upfront/ licensing/ assignment/ royalty fee) annually to NBA during the term of this agreement. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_10,1. The user shall notify the NBA within 6 months from the date of grant of IPR. 2. The user shall pay 2% of the net revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_11,1.The user shall notify the NBA within 6 months from the date of grant of IPR. &#10;&#9;&#9; 2. The user shall pay 2% of the net revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_19,En virtud de la resolución implica fines de investigación científica sin fines comerciales; el usuario presentó la Carta Compromiso de Devolución de Resultados que incluye los beneficios no monetarios a los que se compromete el investigador.,en
ircc_20,"De conformidad con el artículo 70 del reglamento de la Ley General de Desarrollo Forestal Sustentable, deberá presentar a la Dirección General de Gestión Forestal y de Suelos un informe de resultados dentro de los 30 días naturales siguientes al término de la vigencia del aviso, el cual deberá contener: I. Fecha de presentación del aviso II. Recurso biológico forestal recolectado, indicando tipo, cantidad y volumen, así como nombre científico y común de las especies III. Sitios georreferenciados en donde se haya desarrollado la colecta, indicando entidad federativa, municipio y localidad.",en
ircc_21,"Los recursos biológicos forestales colectados al amparo del aviso y de este certificado, no podrán utilizarse en ningún caso con fines comerciales o distintos a los establecidos.",en
ircc_23,"De conformidad con el artículo 70 del Reglamento de la Ley General de Desarrollo Forestal Sustentable, deberá presentar a la la Dirección General de Gestión Forestal y de Suelos, un informe de resultados dentro de los treinta días siguientes al término de la vigencia del aviso, el cual deberá contener lo siguiente: I. Fecha de presentación del aviso II. Recurso biológico forestal recolectado, indicando tipo, cantidad y volumen, así como nombre científico y común de las especies III. Sitios georreferenciados en donde se haya desarrollado la colecta, indicando entidad federativa, municipio y localidad",en
ircc_27,"1. The user shall notify the NBA within 30 days from the date of grant of IPR. &#10;&#9;&#9; 2. If the user himself commercializes the process/product/innovation, he shall pay royalty @ 3% of the highest ex-factory sale price of the product(s) sold or used for captive consumption. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_30,"1.&#9;The user shall notify the NBA on the grant of IPR within six months from the grant. 2.&#9;If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual ex-factory gross sales minus government taxes. 3.&#9;The user needs to inform the NBA about any commercialization made on the IP Rights granted and also assigning the IP Rights to third party for commercialization. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_31,Las Condiciones Mutuamente Acordadas establecidas en el Acuerdo son confidenciales,en
ircc_33,"1. The user shall notify the NBA on the grant of IPR within 60 days. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual ex-factory gross sales of the product (s) minus government taxes. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the annual report to NBA as per the terms and conditions agreed upon.",en
ircc_35,"El Convenio de Acceso a los Recursos Fitogenéticos celebrado entre el Presidente y Representante legal de GISeM, A.C., como Proveedor de los recursos genéticos y la Universidad de Tsukuba en su calidad de Usuario de los mismos, fue firmado el día 12 de diciembre de 2016.",en
ircc_43,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_44,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_45,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_46,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_47,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_48,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_49,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon. 5. Payment of monetary compensation and non-monetary benefits to the benefit claimers as the NBA may deem fit.,en
ircc_50,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_51,"1. The user shall notify the NBA within six months from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_52,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_53,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 1.0% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_54,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_55,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 1% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_56,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_57,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_58,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_59,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_60,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon. 5. Payment of monetary compensation and non-monetary benefits to the benefit claimers as the NBA may deem fit.,en
ircc_61,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_62,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_64,1. The user shall notify the NBA within six months from the date of grant of IPR. 2.The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_65,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_66,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_67,1. The user shall notify NBA within six months from the date of grant of IPR . 2. The user shall inform NBA about any commercialization made on the IP Rights granted . 3. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_68,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_69,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_70,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user needs to inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit the half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_71,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_72,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_73,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_74,1. The user shall notify NBA within six months from the date of grant of IPR. 2. The user shall inform NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_75,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_76,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_77,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_78,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_79,1. The user shall inform the NBA about any commercialization made on the IP Rights granted. 2. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_80,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_81,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_82,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_83,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_84,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_85,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_86,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_87,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_88,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_89,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_90,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_92,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_93,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_94,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_95,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_96,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_97,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_98,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_99,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_100,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit yearly status report to NBA as per the terms and conditions agreed upon.",en
ircc_101,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_102,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_103,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_104,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_105,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_106,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_107,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_108,1. The user shall notify the NBA within six months from the date of grant of IPR. 2. The user shall inform the NBA about any commercialization made on the IP Rights granted. 3. Employ local people in the event CSIR chooses to set up his/its own business unit in India to exploit the IPR granted. 4. The user shall submit half-yearly report to NBA as per the terms and conditions agreed upon.,en
ircc_109,"1. The user shall notify NBA within 60 days from the date of grant of IPR and also assignment or license of the IPR if any, to any person. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform NBA about any commercialization made on the IP Rights. 4. The user shall submit annual report to NBA as per the terms and conditions agreed upon.",en
ircc_110,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. If the user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit a yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_392,Parceval (Pty) Ltd jointly with Mast-Jagermeister SE has concluded mutually agreed terms for the provision of access to the plant materials of Agathosma betulina and for sharing of benefits arising from the commercial exploitation of such resource and its traditional knowledge.,en
ircc_393,Council for Scientific and Industrial Research (CSIR) has concluded mutually agreed terms for the provision of access to the plant materials of Siphonichilus eathiopicus and for sharing of benefits arising from the commercial exploitation of such resource and its traditional knowledge.,en
ircc_394,University of Pretoria has concluded mutually agreed terms for the provision of access to the plant materials of Greyia flanaganii and for sharing of benefits arising from the commercial exploitation of such resource.&#10;&#9;&#9;,en
ircc_395,&#10;&#9;&#9; University of Pretoria has concluded mutually agreed terms for the provision of access to the plant materials of Greyia radlkoferi and for sharing of benefits arising from the commercial exploitation of such resource and its traditional knowledge.,en
ircc_396,Rain Africa Innovations CC has concluded mutually agreed terms for the provision of access to the plant materials of Aloe ferox and A dansonia digitata and for sharing of benefits arising from the commercial exploitation of such resource.&#10;&#9;&#9;,en
ircc_397,Tartan Timbers (Pty) Ltd has concluded mutually agreed terms for the provision of access to the plant materials of Adansonia digitata and for sharing of benefits arising from the commercial exploitation of such resource.,en
ircc_400,The Esse Trust has concluded mutually agreed terms for the provision of access to the plant materials of Kigelia africana and Adonsonia digitata and for sharing of benefits arising from the commercial exploitation of such resources.,en
ircc_401,Zuplex (Pty) Ltd has concluded mutually agreed terms for the provision of access to the plant materials and for sharing of benefits arising from the commercial exploitation of such resources and its traditional knowledge.,en
ircc_402,"No material or specimen collected with this permit, or material or specimens bred or propagated from material or specimens collected with this permit, may be donated, sold or used for any commercial purpose by any party.",en
ircc_403,Specimens collected in terms of this permit shall not be sold or offered for sale.,en
ircc_404,"Cape Kingdom Neutraceuticals (Pty) Ltd has concluded mutually agreed terms for the provision of access to the plants materials of Agothosma betulina and Agothosma crenulata , traditional knowledge associated with the use of the resources and for sharing of benefits arising from the commercial exploitation of such resources.",en
ircc_405,Totally Wild (Pty) Ltd has concluded Material Transfer Agreements (MTAs) and Benefit Sharing Agreements (BSAs) for the provision of access to the plant materials of Aloe ferox and for the sharing of benefits arising from the commercial exploitation of Aloe ferox .,en
ircc_406,Council for Scientific and Industrial Research (CSIR) has concluded mutually agreed terms for traditional knowledge associated with the use of the resource ( Lippia javanica ) and for sharing of benefits arising from the commercial exploitation of such resources.&#10;&#9;&#9;,en
ircc_407,"The University of Western Cape has concluded mutually agreed terms for the provision of access to the plant materials of Galenia africana , traditional knowledge associated with the resource and for sharing of benefits arising from the commercial exploitation of such resource.",en
ircc_408,Puris Natural Aroma Chemicals (Pty) Ltd has concluded mutually agreed terms for the provision of access to the plant materials and for sharing of benefits arising from the commercial exploitation of such resources and its traditional knowledge.,en
ircc_412,Contrato No. 001-2018-MINAGRI-SERFOR/DGGSPFFS-DGSPF,en
ircc_521,Nestle South Africa (Pty) Ltd has concluded mutually agreed terms for the traditional knowledge associated with the use of Aspalathus linearis and for sharing of benefits arising from the commercial exploitation of such resource.,en
