id,text,lang
ircc_530,"Quintessence Collections CC manufacture a wide range of quality skin, body and bath care products to supply the retail and corporate markets.",en
ircc_677,No transfer to third parties; Report obligations in accordance with Decree 59/2017/ND-CP (Article 25),en
ircc_692,"A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of January 8, 2018 N10-2-34/84.",en
ircc_754,A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of 30.08.2018 No 10-2-21/3986,en
ircc_755,A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of 01.10.2018 No 10-2-3204/4461,en
ircc_758,A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of 27.05.2019 № 10-2-33/2348,en
ircc_759,A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of 25.04.2018 No 10-2-36/2040,en
ircc_760,A document confirming the compliance with the Nagoya Protocol issued by the Ministry of Natural Resources and Environmental Protection as a letter of 19.09.2019 № 10-2-33/4227,en
ircc_764,"El enlace contiene información sobre la firma de los Contratos de Acceso, un con fines de investigación y un segundo de Distribución de Beneficios. El archivo adjunto contiene el documento de Contrato de Acceso a Recursos Genéticos y Derivados para Distribución Justa y Equitativa de Beneficios (DJ-C-1-2017-0154), entre el Ministerio de Medio Ambiente y Recursos Naturales y la Compañía Farmacéutica MEDOLIFE.",en
ircc_803,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR to any person, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person and inform NBA within 60 days from the date of such transfer.",en
ircc_874,"La USUARIA no ceder a terceros los derechos y las obligaciones emanadas del Contrato y/o Adenda. Para el ingreso y salida del país del recurso genético y sus derivados para los casos contemplados en el Proyecto, la USUARIA deberá gestionar permisos de recolección, conservación, investigación, exportación e importación y pasar por controles de ley ante las Autoridades Nacionales Competentes (Aduanas, SENASA, entre otros). La USUARIA asume la plena responsabilidad de cumplir con las normas fitosanitarias y de bioseguridad que resulten de la aplicación, incluyendo las que rigen la importación/exportación. En el caso excepcional que la USUARIA requiera la salida de material genético fuera de territorio peruano para realizar u determinado servicios o análisis que permita dar cumplimiento al PROYECTO, deberá gestionar ante el PROVEEDOR la autorización correspondiente que determinará las modalidades y condiciones. Para tal efecto La Usuaria deberá adjuntar la documentación que justifique la necesidad de dicho servicio o análisis, el número, cantidad y tipo de cada una de las muestras que será enviadas al exterior. La solicitud para este caso debe ser presentada con treinta (30) días previos a la fecha de salida y deberá gestionar los permisos y autorizaciones señaladas en el numeral precedente. Asimismo, la USUARIA debe destruir los remanentes de los recursos genéticos y sus derivados accedidos, resultado de la ejecución y/o culminación del proyecto con la finalidad de evitar el uso indebido de tales recursos, bajo responsabilidad. Deberá acreditar la referida destrucción con un informe documentado que incluya la prueba fehaciente de tal hecho.",en
ircc_1058,"1. The approval granted under this agreement is non-transferable and non-assignable to any third party. 2. If the user intends to transfer the accessed biological resources to any third party, the user shall seek the prior approval of NBA by applying in Form-IV.",en
ircc_1245,"The letter of the Ministry of Natural Resources and Environmental Protection of the Republic of Belarus № 10-2-33/1205 dated 04.03.2022 ""On compliance with the requirements of the Nagoya Protocol"" confirming that the transfer 200 grains each of lines 13-3, 15-7-1, 15-7-2, 16-5 of spring soft wheat Triticum aestivum L. with introgression of Triticum dicoccoides genetic material for the Institute of Biology ― a separate subdivision of the Federal State Budgetary Scientific Institution of the Federal Research Centre “Karelian Research Centre of the Russian Academy of Sciences” (Russian Federation) for scientific research for non-commercial purposes complies with the Nagoya Protocol",en
ircc_2347,"1. The approval granted under this agreement is non-transferable and non-assignable to any third party. 2. If the user intends to transfer the accessed biological resources to any third party, the user shall seek the prior approval of NBA by applying in Form-IV.",en
ircc_2715,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_2779,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_2788,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 4.0% of the fee received (in any form including the license / assignee fee) and 4.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_3092,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
