id,text,lang
ircc_1,"HG&H Pharmaceuticals (Pty) Ltd may only use the Sceletium tortuosum for the purpose specified in the permit application documentation. HG&H Pharmaceuticals (Pty) Ltd must submit progress report annually for the duration f the permit. If new collaborators join the bioprospecting project for which the permit has been issued, HG&H Pharmaceuticals must notify the issuing authority in writing.",en
ircc_19,"De conformidad con el Artículo 70 del Reglamento de la Ley General de Desarrollo Forestal Sustentable, el Usuario deberá presentar el informe final 30 días al terminar la vigencia de la resolución. En dicho informe deberá presentar la evidencia de la obtención del Consentimiento Fundamentado Previo para las colectas que se hayan llevado a cabo en terrenos de propietarios, ejidos o terrenos comunales.",en
ircc_20,"Los recursos biológicos forestales colectados al amparo del Aviso y de este Certificado, no podrán utilizarse en ningún caso con fines comerciales o distintos a los establecidos",en
ircc_31,"El interesado obtuvo el Consentimiento Fundamentado Previo (libre, previo e informado) de las comunidades de El Charape la Joya y La Joya, que forman parte del Ejido Charape la Joya, Delegación Santa Rosa Jáuregui, Querétaro, Querétaro, así como de la persona moral denominada &#34;Mujeres y Ambiente&#34;, S. de P.R. de R.L. de C.V.",en
ircc_35,"Se obtuvo el Consentimiento Fundamentado Previo de cada uno de los donadores originales de cada recurso genético en conjunto con el representante legal de GISeM, A.C.",en
ircc_91,"1. The user shall notify the NBA within 60 days from the date of grant of IPR. 2. The user himself commercializes the process/product/innovation, the monetary sharing shall be 0.2% on the annual gross ex-factory sale minus government taxes. 3. The user shall inform the NBA about any commercialization made on the IP Rights granted. 4. The user shall submit the yearly report to NBA as per the terms and conditions agreed upon.",en
ircc_402,"This permit allows collection and export of Cape Mountain Zebra for non-commercial research purposes and is issued subject to the provisions and regulations of the following laws: a) The National Environmental Management Act, 1998 (Act No. 107 of 1998) b) The National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) c) The National Environmental Management: Protected Areas Act, 2003 (Act No. 57 of 2003) d) Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015 e) CITES Regulations f) Nature Conservation Ordinance, 1974 (Ord. 19 of 1974) g) Any other relevant law.",en
ircc_403,"This permit allows collection of marine biodiversity samples for bio-discovery purposes and is issued subject to the provisions and regulations of the following laws: a) The Marine Living Resources Act, 1998 (Act No. 18 of 1998) b) The National Environmental Management Act, 1998 (Act No. 107 of 1998) c) The National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) d) The National Environmental Management: Protected Areas Act, 2003 (Act No. 57 of 2003) e) The Sea Birds and Seals Protection Act, 1973 (Act No. 46 of 1973) f) The Prevention of Pollution from Ships Act, 1986 (Act No. 2 of 1986) g) The National Environmental Management Integrated Coastal Management Act, 2008 (Act No.24 of 2008) h) Any other relevant law.",en
ircc_405,Totally Wild (Pty) Ltd is authorized to utilize indigenous genetic and biological resources ( Aloe ferox ) for the purpose specified in the permit application documentation. Totally Wild (Pty) Ltd must submit progress report annually for the duration of the permit.,en
ircc_538,"This permit allows collection and export of Eastern black rhino for non-commercial research purposes and is issued subject to the provisions and regulations of the following laws: The National Environmental Management Act, 1998 (Act No. 107 of 1998) The National Environmental Management Biodiversity Act, 2004 (Act No. 10 of 2004) Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015 Threatened or Protected Species Regulations, 2007 CITES Regulations Any other relevant Laws",en
ircc_544,"This permit allows export of brain samples of Velvet monkeys by Mawana Game Reserve for non-commercial research purposes and is issued subject to the provisions and regulations of the following laws: The National Environmental Management Act, 1998 (Act No. 107 of 1998) The National Environmental Management Biodiversity Act, 2004 (Act No. 10 of 2004) Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015 Threatened or Protected Species Regulations, 2007 CITES Regulations • Any other relevant Laws",en
ircc_546,"Resolución Directoral N° 0010-2019-MINAGRI-SERFOR/DGGSPFFS-DGSPF, del 12 de abril de 2019; Resolución Directoral N° 0012-2019-MINAGRI-SERFOR/DGGSPFFS-DGSPFS, del 12 de abril de 2019; Resolución Directoral N° 034-2017-SERNANP-DGANP; Contrato de Acceso a los Recursos Genéticos N° CTO-ARG-2019-002, del 12 de abril de 2019.",en
ircc_668,Decision 3206/QD-BTNMT dated 17/12/2019,en
ircc_671,"Decision 963/QD-BTNMT dated 20 April, 2020",en
ircc_685,"Decision 1240/QD-BTNMT dated 03 June, 2020",en
ircc_692,The Prior Informed Consent was granted to the Potato GenBank of the US Department of Agriculture by the Ministry of Natural Resources and Environmental Protection of the Republic of Belarus.,en
ircc_698,"For access to genetic resources without commercial purposes; the issuance of the scientific permit represents the confirmation that consent was obtained previously informed, on behalf of the Competent National Authority. Panama: Ministry of Environment. Directorate of Protected Areas and Wildlife, through of the Unit of Access to the Genetic Resource (UNARGEN), Department of Biodiversity and Wildlife.&#10;&#9;&#9;",en
ircc_702,"&#10;&#9;&#9; Para acceso a recursos genéticos sin fines comerciales; la emisión del permiso científico representa la confirmación de que se obtuvo el consentimiento informado previo, de parte de la Autoridad Nacional Competente. Panamá: Ministerio de Ambiente. Dirección de Áreas Protegidas y Biodiversidad, a través de la Sección de Acceso al Recurso Genético, Departamento de Biodiversidad. Documento de Consentimiento Informado previo del propietario o representante legal (ANCON, Asociación Nacional para la Conservación de la Naturaleza), de la finca privada, Reserva Natural Patiño, lugar en donde se colectará la muestra de planta Cedrón (Simaba cedron).",en
ircc_704,"For access to genetic resources without commercial purposes; the issuance of the scientific permit represents the confirmation that consent was obtained previously informed, on behalf of the Competent National Authority. Panama: Ministry of Environment. Directorate of Protected Areas and Wildlife, through of the Unit of Access to the Genetic Resource (UNARGEN), Department of Biodiversity and Wildlife.&#10;&#9;&#9;",en
ircc_719,Ms. Sara Elizabeth Heisel -UNIVERSITY GEORGIA 140 East Green Street Athens Georgia USA/1776 hwy T Labadie MO 63055 USA,en
ircc_720,"PROF Francis Mulaa . Department of biochemistry university of Nairobi P.O Box 30197-00100 Nairobi, science and technology park",en
ircc_721,other providers include Sasini and theta farms holders of the permit include Dr. Matthew D. Johnson of Humboldt State University and Dr. Julie A Jedlicka of Missouuri Western State University,en
ircc_723,"Dr. J. Grant C. Hopcraft, Institute for Biodiversity, Animal Health and comparative medicine, University of Glasgow, UK, G 12 8QQ.",en
ircc_728,Location at Greater Serengeti -Mara Ecostem,en
ircc_754,"The Prior Informed Consent was granted to the University of Otago, New Zeland",en
ircc_755,The Prior Informed Consent was granted to the Landscape Arboretum of the University of Minnesota for scientific research by the Ministry of Natural Resources and Environmental Protection of the Republic of Belarus.,en
ircc_758,"The Prior Informed Consent was granted to the Centre for Biodiversity Genomics, Canada",en
ircc_759,The Prior Informed Consent was granted to the Federal State Budgetary Scientific Institution “K.A. Timiryazev Institute of Plant Physiology of the Russian Academy of Sciences” by the Ministry of Natural Resources and Environmental Protection of the Republic of Belarus.,en
ircc_760,The Prior Informed Consent was granted to the Landscape Arboretum of the University of Minnesota for scientific research by the Ministry of Natural Resources and Environmental Protection of the Republic of Belarus.,en
ircc_761,Prior informed consent (PIC) was provided to company “SEPPIC” (France) to conduct research and/or developments of genetic and/or biochemical composition for possible subsequent commercialization,en
ircc_773,granted by Ol Pejeta Conservancy and Nairobi Orphanage,en
ircc_1046,"This permit allows collection, possession and transportation of marine organisms for the purpose of teaching and/or research subject to the provisions and regulations of the following laws: a) The Marine Living Resources Act, 1998 (Act No. 18 of 1998) b) The National Environmental Management Act, 1998 (Act No. 107 of 1998) c) The National Environment Management: Biodiversity Act, 2004 (Act No. 10 of 2004) d) The National Environment Management: Protected Areas Act, 2003 (Act No. 57 of 2003) e) The Sea Birds and Seals Protection Act, 1973 (Act No. 46 of 1973) f) The Prevention of Pollution from Ships Act, 1986 (Act No. 2 of 1986) g) The National Environment Management: Integrated Coastal Management Act, 2008 (Act No. 24 of 2008) h) Any other relevant law i) All relevant COVID 19 Regulations as published in the Government Gazette should be adhered to during the period of the pandemic. j) All relevant COVID 19 Regulations by SAMSA for the use of ships and boats should be adhered to during the period of the pandemic.",en
ircc_1251,"This permit allows for the export of collected South African ex situ population of the critically endangered Eastern Black rhino to determine their conservation status research purposes and is issued subject to the provisions and regulations of the following laws: a)The National Environmental Management Act, 1998 (Act No . 107 of 1998) b) The National Environmental Management: Biodiversity Act, 2004 (Act No. 1 0 of 2004) c) The National Environmental Management: Protected Areas Act, 2003 (Act No. 57 of 20 03) d) Threatened or Protected Species Regulations e) Any other relevant law.",en
ircc_1506,As contained in permit No: FAUNA 0645/2021 attached,en
