id,text,lang
ircc_1,"HG&H works closely with international medical and scientific collaborative team HG&H Pharmaceuticals (Pty) Ltd marketing partners for the final product are as follows: 1. United States P.L. Thomas & Co. Inc. c/o Mr Robert Berman Morristown, New Jersey 07960 E: bob@plthomas.com www.plthomas.com 2. Malaysia, Singapore, Indonesia Membrahealth Marketing (M) SDN BHD 28-2 Jalan Damar SD 15/1 Bandar Sri Damansara Kuala Lumpur, Malaysia E: info@membra.com.my www.membra.com.my 3. Australia Pathway International Level 2, Chesalon House, 14 Rodborough Road Frenchs Forest NSW 2086 E: wayne@pathway.net.au www.pathway.net.au 4. South Africa Brunel Laboratoria 1 van Tonder Street, Sunderland Ridge Centurion, Gauteng 0149 E: leana@brunel.co.za www.brunel.co.za 5. Japan Coach Industries Inc. 2-4-12 Dosho-machi, Chuo-ku Osaka 541-0057 T: +81-6-6222-0208 E: inftkc@coachboueki.jp http://www.coachindustries.com 6. Taiwan (R.O.C.) Esences Corporation 3F., No.486, Bannan Rd., Zhonghe Dist., New Taipei City 23557, Taiwan (R.O.C.) T: 886 – 2- 22225968 E: esences.corp@msa.hinet.net",en
ircc_402,The permit holder is working in collaboration with scientists and students from the Nelson Mandela University in South Africa.,en
ircc_405,Totally Wild (Pty) Ltd specialises in the development and marketing of a high-end range of products both at national and international level.,en
ircc_538,The importer (Permit holder) is working in collaboration with the exporter (Permit Holder) Thaba Thola Trust from Limpopo Province of South Africa.,en
ircc_540,The Importer/ Recipient (permit holder) is working in collaboration with the South African National Biodiversity Institute (Exporter/ permit holder),en
ircc_1046,"The specimens will be send to the below Institution in Germany for analysis: Focus Group Marine Molecular Ecology, Helmholtz Institute for Functional Marine Biodiversity at the University of Oldenburg (HIFMB) and Alfred Wegener Institute Helmholtz Center for Polar and Marine Research Academic or research institute Ammerländer Heerstraße 231 26129 Oldenburg, Germany Phone: +4947148312566 Email: silke.laakmann@hifmb.de",en
ircc_1367,This is to perform whole-genome sequencing on the extracted DNA from the worms for academic research relating to epidemiology and disease control.,en
ircc_1545,The project complies with the ABS prior inform consent and mutually agreed term in the light of Nagoya Protocol and its purpose is for research purpose only,en
ircc_1546,This is a prospective observational study which there is no treatment given to patients according to study procedures. Only medical intervention for this study is sample collection that is totally independent of the treatment and all patients involving in the study will receive standard care for P. falciparum and/or P. vivax malaria as well as drug therapy according to the national treatment guidelines of their countries.,en
ircc_1548,This is a prospective observational study which there is no treatment given to patients according to study procedures. Only medical intervention for this study is sample collection that is totally independent of the treatment and all patients involving in the study will receive standard care for P. falciparum and/or P. vivax malaria as well as drug therapy according to the national treatment guidelines of their countries.,en
ircc_1550,"The main activity of this project is to protect wildlife and other biological resources in the NT2 Watershed with particular emphasis on endangered Annamite endemic species for ensuring their long-term well-being and continued viability through effective and proactive law enforcement. In this regard, samples of fecal samples from otter species (Eurasian otter Lutra lutra, Smooth-coated Otter Lutrogale perspicillata , Asian Small-clawed Otter Aonyx cinereus ) will be collected in the wild in Nakai-Nam Theun National Park from November 2019 to April 2020. The samples will be then sent to Conservation Ecology Program, King Mongkut's University of Technology Thonburi in Thailand in order to conduct DNA extraction in the laboratory. This permission is hereby issued as the evidence of the utilization of genetic resources for research purposes only, which is not valid after 31 December 2023. The Association Project Anoulak, as a user, must submit a copy of the sample information with the permission of the local partner, MAF, to the ABS authority in order to register each export till ending project, and must share the research results and publications (all partners must be included as co-authors in the resulting publications) with the local partner and ABS authority in order to acknowledge the provider of genetic resources. If further experiment of the genetic resources is used for commercial purposes, the user then needs to inform the authority and the ABS agreement must to be established among the user and provider.",en
ircc_2071,"The specimens will be send to the below Institution in Germany for analysis: Alfred Wegener Institute, helmholtz centre for polar and marine research Academic or research institute Am Handelshafen 12 Bremerhaven 27570,Germany Phone: +49 176 19241940 Email: matthew.james.slater@awi.de",en
ircc_2112,"The details of the researcher's other University in Belgium are as follows: Hasselt University Agoralaan Building D Diepenbeek, Limburg Belgium, BE 3590 Email: fortunate.mafetaphaka@uhasselt.be Phone: +32 489 44 02 83 OR Email: maarten.vanhove@uhasselt.be Phone: +32(0)11 26 83 29",en
ircc_2161,"Academic research related to surface water and groundwater quantity and quality, soil erosion, biogeochemistry.",en
ircc_2201,Collection and genotyping of Asian elephant dung samples on the Nakai Plateau region of Lao PDR to estimate the current minimum population size and level of genetic diversity for comparison with the previous study of the population prior to construction of the NT2 dam on the Nam Theun River.,en
ircc_2255,"Academic research related to surface water and groundwater quantity and quality, soil erosion, biogeochemistry.",en
ircc_2442,"The benefit sharing obligations under this agreement shall be the sole responsibility of the Applicant. The applicant shall fulfill the obligations to the NBA without regard to any interests, any co-applicant or his legal heirs might have in the patent.",en
ircc_2947,Updated on 12/06/2020,en
ircc_4497,"In the further experiment of the biological resource used for commercial purposes, SEDERMA France has to inform the authority and the ABS agreement must be established.",en
