id,title,lang
ircc_1,South Africa/NEMBA/BABS/IEP0045,en
ircc_2,Contract of access to genetic resources for research purposes on Mahogany (Swietenia macrophylla King)  and Cedar (Cedrella odorata L),en
ircc_3,ESNC8,en
ircc_5,ESNC10,en
ircc_8,ESNC7,en
ircc_9,India/NBA/Appl/9/115-A4,en
ircc_10,India/NBA/Appl/9/94-H,en
ircc_11,India/ NBA/Appl/130-A31,en
ircc_12,ESNC6,en
ircc_19,Aviso para llevar a cabo la colecta de recursos biológicos forestales con fines de investigación y/o en biotecnología,en
ircc_20,Aviso de colecta de recursos biológicos forestales con fines de utilización en investigación y/o biotecnología SGPA/DGGFS/712/1591/18,en
ircc_21,Aviso para llevar a cabo la colecta de recursos biológicos forestales con fines de utilización en investigación y/o biotecnología SGPA/DGGFS/712/1590/18,en
ircc_23,Aviso de colecta de recursos biológicos forestales con fines de utilización en investigación y/o biotecnología SGPA/DGGFS/712/1628/18,en
ircc_26,ESNC9,en
ircc_27,India/NBA/Appl/9/557,en
ircc_30,India/NBA/Appl/9/727,en
ircc_31,"Autorización para efectuar la colecta científica de recursos biológicos forestales, modalidad biotecnológica con fines comerciales",en
ircc_33,India/NBA/Appl/9/546,en
ircc_35,Resolución de solicitud de acceso a Chayote,en
ircc_42,Aviso para llevar a cabo la colecta de recursos fitogenéticos domesticados con fines de investigación básica C00.-05.-3501,en
ircc_43,India/NBA/Appl/9/327,en
ircc_44,India/NBA/Appl/9/133-A21,en
ircc_45,India/NBA/Appl/9/130-A20,en
ircc_46,India/NBA/Appl/9/133-A68,en
ircc_47,India/NBA/Appl/9/315,en
ircc_48,India/NBA/Appl/9/133-A70,en
ircc_49,India/NBA/Appl/9/115-A34,en
ircc_50,India/NBA/Appl/9/655,en
ircc_51,India/NBA/Appl/774,en
ircc_52,India/NBA/Appl/9/130-A43,en
ircc_53,India/NBA/Appl/9/1686,en
ircc_54,India/NBA/Appl/9/1941,en
ircc_55,India/NBA/Appl/9/1933,en
ircc_56,India/NBA/Appl/9/109-A7,en
ircc_57,India/NBA/Appl/9/133-A67,en
ircc_58,India/NBA/Appl/9/1984,en
ircc_59,India/NBA/Appl/9/133-A18,en
ircc_60,India/NBA/Appl/9/133-A55,en
