text,id,lang
"HG&H Pharmaceuticals (Pty) Ltd will be liable for the costs of mitigating or remedying the impact of the bioprosecting on the environment, in accordnance with section 28 of the National Environmental Management Act, 1998 ( Act No. 107 of 1998) HG&H Pharmaceuticals (Pty) Ltd must comply with all other legislative requirements for export outside the Republic of South Africa",ircc_1,en
Access to genetic resources on research purposes &#10;&#9;&#9;,ircc_2,en
El objetivo es únicamente para resguardo y caracterización biológica de la variabilidad intraespecífica de gramíneas silvestres nativas de la diversidad de ecosistemas de México. Se colectarán 10 gramos de semilla y tres macollos por sitio de las especies enlistadas,ircc_19,en
El objetivo es caracterizar la variación fitoquímica dentro y entre especies del género Piper en un gradiente de precipitación y recolectar especímenes para herbario.,ircc_20,en
"Conservación en Banco de Germoplasma. El material será resguardado en el Centro Nacional de Recursos Genéticos, ubicado en Av. de la Biodiversidad No. 400, Col. Centro. Tepatitlán de Morelos Jalisco, C.P. 47600",ircc_21,en
"El material que se colecte será empelado para detección, identificación y análisis filogenético de micromicetos saprobios de restos vegetales de bosques tropicales y semi-tropicales de áreas naturales conservadas de México-",ircc_23,en
Utilización con fines cosméticos,ircc_31,en
"La resolución ampara el acceso a recursos genéticos en condiciones ex situ, con fines de investigación básica e investigación aplicada a los cinco materiales de Chayote ( Sechium edule ) antes mencionados.",ircc_35,en
"Conservación en Banco de Germoplasma. El material será resguardado en el Centro Nacional de Recursos Genéticos, ubicado en Av. de la Biodiversidad No. 400, Col. Cemtro. Tepatitlán de Morelos jalisco, C.P. 47600",ircc_42,en
Détermination de la phylogéographie de Phlebotomus mascittii en collaboration avec l’Institute of specific and Tropical medicine de Vienne (Autriche),ircc_254,en
Etude de l'histoire évolutive de l'orge bulbeuse,ircc_280,en
Analyse de la diversité des souches de leptospires et de leur distribution afin de mieux comprendre leur évolution et l'épidémiologie des souches pathogènes,ircc_328,en
Inventaire des coléoptères aquatiques de la portion littorale de Guyane française - projet RECOLT,ircc_331,en
Etude des peuplements de poissons et crustacés du plateau guyanais pour une meilleure gestion des stocks de pêche,ircc_348,en
"Etude de la biodiversité morphologique, moléculaire et génomique des hémoparasites des oiseaux en France",ircc_378,en
"Parceval (Pty) Ltd jointly with Mast-Jagermeister SE will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_392,en
"CSIR will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_393,en
"University of Pretoria will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_394,en
"University of Pretoria will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_395,en
"Rain Africa Innovations CC will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_396,en
"Tartan Timbers (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_397,en
"University of Cape Town will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_398,en
"Pastillo Seed Oil will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_399,en
"The Esse Trust will be liable for costs of mitigating or remedying the impact of the bioprospecting project on the environment, in accordance with the section 28 of the National Environmental management Act, 1998 (Act No.107 of 1998).",ircc_400,en
"Zuplex (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_401,en
