id,identifier
ircc_1,3CB7E0D2-7E49-4FF6-836C-A643015FDEF7@1
ircc_2,FFB6A01E-F30A-44D6-806E-54D62575FF68@1
ircc_3,0B5A98C3-A9C5-976A-0586-B4A38913BF91@1
ircc_3,BE6E6380-D69A-2F93-4A22-E06DBD267DB1@1
ircc_4,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@3
ircc_5,32BB08D1-C090-ADE1-253F-12B912231EA0@2
ircc_5,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_5,5B827580-188B-C1EB-47A5-8A32A31D6F6D@1
ircc_5,0B5A98C3-A9C5-976A-0586-B4A38913BF91@1
ircc_5,29D2E9C6-E80A-003A-3289-244B31CCF5EC@1
ircc_6,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_7,32BB08D1-C090-ADE1-253F-12B912231EA0@2
ircc_7,5B827580-188B-C1EB-47A5-8A32A31D6F6D@1
ircc_7,51C76D45-D49E-4659-42D9-37545BC96EAD@1
ircc_7,795AFB26-A7D2-5ADB-C07F-0C7465ADC42E@1
ircc_7,DC1223A3-3613-EFA1-4CFA-6659A88FB375@1
ircc_7,5ACE564F-895D-3682-984C-89083623BD2F@1
ircc_7,CDB9E073-5A90-97CF-8C26-A2512CB3B5E0@1
ircc_7,0B5A98C3-A9C5-976A-0586-B4A38913BF91@1
ircc_7,A43DBDF6-DC9F-1DA8-6B00-76599FE3F825@1
ircc_7,66C949DD-D9E1-8D69-5FEB-7FDFC9491DEB@1
ircc_7,1E43E68E-3820-69C1-DAE9-0DE9E125AB27@1
ircc_7,925279BF-8035-7546-2CC7-48B756344E9B@1
ircc_7,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_7,29D2E9C6-E80A-003A-3289-244B31CCF5EC@1
ircc_7,221083F9-A96B-D620-0FC6-70D0BD3E933F@1
ircc_7,2CDEB7EC-9379-8DE8-0BE1-3F179B65A6E3@2
ircc_8,5ACE564F-895D-3682-984C-89083623BD2F@1
ircc_8,CDB9E073-5A90-97CF-8C26-A2512CB3B5E0@1
ircc_8,A43DBDF6-DC9F-1DA8-6B00-76599FE3F825@1
ircc_9,9131D151-EF2C-0E08-CBB8-3CA1D8CE58F5@2
ircc_10,9131D151-EF2C-0E08-CBB8-3CA1D8CE58F5@2
ircc_11,9131D151-EF2C-0E08-CBB8-3CA1D8CE58F5@2
ircc_12,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@2
ircc_12,795AFB26-A7D2-5ADB-C07F-0C7465ADC42E@1
ircc_13,51C76D45-D49E-4659-42D9-37545BC96EAD@1
ircc_13,5ACE564F-895D-3682-984C-89083623BD2F@1
ircc_13,1E43E68E-3820-69C1-DAE9-0DE9E125AB27@1
ircc_13,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_14,221083F9-A96B-D620-0FC6-70D0BD3E933F@1
ircc_15,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_16,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@4
ircc_17,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_18,1E43E68E-3820-69C1-DAE9-0DE9E125AB27@1
ircc_22,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@2
ircc_24,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@4
ircc_25,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@4
ircc_26,32BB08D1-C090-ADE1-253F-12B912231EA0@2
ircc_27,9131D151-EF2C-0E08-CBB8-3CA1D8CE58F5@2
ircc_28,3EDF85BF-FE2A-C86F-7D51-FD0D8FD1E5E8@4
ircc_28,C35921B8-0821-7CC1-AED8-C38F71FC5C7E@1
ircc_29,DF0890C2-F0A5-7A92-0972-C9E95EC916B5@1
