id,reference_to_national_permit,lang
ircc_1,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Managament:Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Regulations.",en
ircc_2,Project Name: Evaluation of the effect of forest management on genetic diversity of Mahogany (Swietenia macrophylla King) and Cedar (Cedrella odorata) forest concessions in the Maya Biosphere Reserve Objetives: Evaluate the genetic variability in Mahogany and Cedar Evaluate the management effect and foresty on the genetic diversity in the Mahogany and Cedar populations of the community and industrial consessions,en
ircc_9,"Application in Form-III for seeking approval for the invention &#34; Novel Herbal combination for the treatment of piles&#34; for obtaining IP Rights in India, United States of America and World Intellectual Property Organization . Indian Patent Application Number: 01277/DEL/2005",en
ircc_10,"Application in Form-III for seeking approval for the invention &#34; A novel immuno-modulatory and Anti-allergic Herbal formulation(s)&#34; for obtaining IP Rights in India, United States of America and World Intellectual Property Organization. Indian Patent Application Number: 01259/DEL/2005",en
ircc_11,Application in Form-III for seeking approval for the invention &#34; Isolation and synthesis of novel furano and pyranoflavonoids as anti-diabetic agents&#34; for obtaining IP Rights in India. Indian Patent Application Number:0528/DEL/2006,en
ircc_19,"La resolucion se emitio mediante Oficio SGPA/DGGFS/712/1271/17, para llevar a cabo la Colecta Cientifica de recursos biologicos forestales, mediante el Aviso de colecta de recursos biologicos forestales con fines de utilizacion en investigacion y/o biotecnologia, tramite SEMARNAT-03-039. La Autorizacion se emitio considerando lo dispuesto en los articulos 67 y 68 de la Ley General de Desarrollo Forestal Sustentable; 70 del Reglamento de la Ley General de Desarrollo Forestal Sustentable; 33, fracciones I y XVI del Reglamento Interior de la Secretaria de Medio Ambiente y Recursos Naturales, publicado en el Diario Oficial de la Federacion el dia 26 de noviembre de 2012.",en
ircc_20,La resolucion se emitio con fundamento en los articulos 67 y 68 del Reglamento de la Ley General de Desarrollo Forestal Sustentable,en
ircc_21,"La resolucion se emitio mediante Oficio SGPA/DGGFS/712/1590/18, con fundamento en los articulos 14 fraccion XIII, 68 fraccion III, 86 parrafo tercero de la Ley General de Desarrollo Forestal Sustentable y 67 del Reglamento de la Ley General de Desarrollo Forestal Sustentable.",en
ircc_23,"La resolucion se emitio mediante oficio SGPA/DGGFS/712/1628/18, para llevar a cabo la Colecta de recursos biologicos forestales con fines de utilizacion y/o biotecnologia, con fundamento en los articulos 14 fraccion XIII, 68 fraccion III, 86 parrafo tercero de la Ley General de Desarrollo Forestal Sustentable y 67 del Reglamento de la Ley General de Desarrollo Forestal Sustentable",en
ircc_27,Application in Form-III for seeking approval for the invention &#34; A lotion for the treatment of corns&#34; for obtaining IP Rights in India.,en
ircc_30,Application in Form-III for seeking approval for the invention &#34; Method for preparing spray dried sugarcane juice &#34; for obtaining IP Rights in India,en
ircc_31,"La Autorizacion se emitio mediante Oficio SGPA/DGGFS/712/220/17, para llevar a cabo la Colecta Cientifica de recursos biologicos forestales en su Modalidad B- Biotecnologica con fines comerciales (Tramite SEMARNAT-03-058-B). La Autorizacion se emitio considerando lo dispuesto en los articulos 1 y 27 de la Constitucion Politica de los Estados Unidos Mexicanos; 32 Bis fracciones I, III, V, XXII, XXXIX, de la Ley Organica de la Administracion Publica Federal; 1, 2, fraccion III; 3, fraccion XXVIII y XXIX; 15, fraccion XIII; 79, fracciones I, III, VI, VII y X; 82; 83; 87 y 87 Bis de la Ley General del Equilibrio Ecologico y la Proteccion al Ambiente; 16, fraccion XXVIII; 58, fraccion IV; 101, 102 y 106 de la Ley General de Desarrollo Forestal Sustentable; 63, 65 y 66 del Reglamento de la Ley General de Desarrollo Forestal Sustentable; 33, fracciones I y XVI del Reglamento Interior de la Secretaria de Medio Ambiente y Recursos Naturales, publicado en el Diario Oficial de la Federacion el dia 26 de noviembre de 2012.",en
ircc_33,Application in Form-III for seeking approval for the invention on &#34; Herbal composition and medicament for promoting poultry health&#34; for obtaining IP Rights in India. &#10;&#9;&#9;,en
ircc_35,Oficio C00.05 3454.&#10;&#9;&#9;,en
ircc_42,"La resolucion se emitio mediante Oficio C00.-05.-3501, con fundamento en lo establecido en el articulo 102 de la Ley de Desarrollo Rural Sustentable, fraccion I y el Reglamento Interior de la Secretaria de Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion en sus articulos 2 inciso D, fraccion VI y 53 fraccion I, II, V y XI; y su calidad de Autoridad Nacional Competente ante el Protocolo de Nagoya.",en
ircc_43,"Application in Form-III for seeking approval for the invention on ""Biotransformation Process for the preparation of Diosgenin from Dioscin"" for obtaining IP Rights in India Indian Patent Application Number: 0609/DEL/2008",en
ircc_44,"Application in Form-III for seeking approval for the invention on ""Non toxic herbal formulation extracted from plants useful for anti cancer"" for obtaining IP Rights in India. Indian Patent Application Number: 1321/DEL/2007",en
ircc_45,"Application in Form-III for seeking approval for the invention on ""A process for the preparation of ready to use cereal flakes coated with meat powder"" for obtaining IP Rights in India Indian Patent Application Number: 307/DEL/2006",en
ircc_46,"Application in Form-III for seeking approval for the invention ""Refreshing and tasty drink and a process for the preparation thereof"" for obtaining IP Rights in India, China, Europe, Great Britain, Japan, Korea, Philippines, Malaysia, TZ, ID, United States of America and PCT. Indian Patent Application Number: 1824/DEL/2006 China Patent Number: CN101500437B Europe Patent Number:2063721 Great Britain Patent Number: 2063721 Japan Patent Number:5312325 Korea Patent Number:10-1396812 Philippines Patent Number:1-2009-500205 Malaysia Patent Number:MY-149503-A ID Patent Number : IDP000042565 USA Patent Number:8252359 PCT Patent Number:WO/2008/020457",en
ircc_47,"Application in Form-III for seeking approval for the invention "" A process for outdoor cultivation of microalgae Botryococcus sp. for the production of biomass"" for obtaining IP Rights in India, Indonesia and Malaysia. Indian Patent Application Number: 2377/DEL/2007 Patent Number : 279117 Indonesia Patent Application Number: P-00200800527 Malaysia Patent Application Number: P120083227 Patent Number : MY-143383",en
ircc_48,"Application in Form-III for seeking approval for the invention "" In-vivo biotransformation for modifying the millet endosperm by partially hydrilysing the cell walls by germination which enables the starch to expand uniformly to its full capacity retaining original shape of grains"" for obtaining IP Rights in India and WO Indian Patent Application Number: 2684/DEL/2006 WO: PCT/IN07/00450",en
ircc_49,"Application in Form-III for seeking approval for the invention "" A formulation for preparation of ready-to eat onion bar and a process thereof"" for obtaining IP Rights in India Indian Patent Application Number: 0726/DEL/2005",en
ircc_50,"Application in Form-III for seeking approval for the invention ""Gingerols enriched ginger conserve"" for obtaining IP Rights in India Indian Patent Application Number: 284/DEL/2009",en
ircc_51,"Application in Form-III for seeking approval for the invention ""Petpyara churna from toosh"" for obtaining IP Rights in India. Indian Patent Application Number: 1374/DEL/2008 dated 2008-06-10",en
ircc_52,"Application in Form-III for seeking approval for the invention ""A process for the preparation of a composition enriched with antihypertensive peptides from milk powder"" for obtaining IP Rights in India Indian Patent Application Number: 0330/DEL/2006",en
ircc_53,"Application in Form-III for seeking approval for the invention ""A single pot process for the regioselective synthesis of neolignan framework from Asarones "" on for obtaining IP Rights in India and USA. Indian Patent Application Number: 0848/DEL/2008 USA Patent Number: 7872160",en
ircc_54,"Application in Form-III for seeking approval for the invention ""An Aromatic biodegradable infection preventing sanitary napkin"" for obtaining IP Rights in India Indian Patent Application Number: 3001/DEL/2014",en
ircc_55,"Application in Form-III for seeking approval for the invention ""A fast isolation method for the natural scaffold ursolic acid from Diospyros melanoxylon "" for obtaining IP Rights in India and United States of America. Indian Patent Application Number: 0679/DEL/2010 USA Patent Number : 8748658",en
ircc_56,"Application in Form-III for seeking approval for the invention ""A process for obtaining xyloologosaccharides from cereals and their malts"" for obtaining IP Rights in India.",en
