id,identifier
ircc_42,75830F5F-0AF5-DEBC-ED4C-289A57D8469D@1
ircc_703,721CA71E-2053-BD12-B573-41C4C3D8DE38@1
ircc_707,6DA28FAB-41FF-18A7-3D2E-9B372079FBC3@1
ircc_710,8A8E014D-FC85-6C2E-3192-F6704C7846C0@1
ircc_715,1666FCE5-3585-AE8C-DDD4-00DA48F4FC53@1
ircc_729,C9A80931-67B8-1AEA-06D7-6EEB15A14501@1
ircc_730,C9754081-91FA-3F94-6216-CAE66FFBA124@1
ircc_764,B4C691B6-E77E-6CA7-4F1F-9734B52F1989@3
ircc_775,93C9EC54-51C4-0226-DCD3-CD24835F239C@1
ircc_777,5E271E5A-D73A-FE81-AD92-A1588ED1BA71@2
ircc_778,EDDB2970-7A76-B0D4-DD98-FBC47381B4FE@1
ircc_780,32958A1F-8AD0-916E-B3AC-2120961A6A6D@1
ircc_782,99E802E5-F718-DA90-3463-1E3510C87AB5@1
ircc_783,7D24F3DB-B7CA-0F29-F0AF-E74D545B67FD@1
ircc_784,AE1A49F9-5F5F-D8D5-7F1F-408768C146EA@1
ircc_1725,2D94D3C8-0151-E999-C43A-27485BA62E4F@1
ircc_1766,A3155491-85F2-A018-BB89-460433B44609@1
ircc_1799,B6D33586-2469-2712-D4A7-036D247B1722@1
ircc_3968,5FE22844-5A5B-068D-D846-848E86306169@1
ircc_3976,5EFFE5A4-6185-56E4-DAE3-B1915E8805AC@1
ircc_3978,2B71B463-7CB4-5798-988D-0A56D19C64A5@1
ircc_4034,0D9C1E3A-1502-2B36-78DE-5EB84A32647A@1
ircc_4050,5EC1D017-D734-1A59-A22F-A28E13FBD699@1
ircc_4142,7D9AB4B7-5FC4-2E32-16BC-6BE4AAFAA903@1
ircc_4143,D3EE1D27-E652-A0B1-B5E2-3F12A61E7E1D@1
ircc_4166,6B8ADCD8-A2BD-18F0-FB4B-1243441CDD41@1
ircc_4204,9418F350-90D8-6486-3DF2-AF0DB99E882A@1
ircc_4332,D3EE1D27-E652-A0B1-B5E2-3F12A61E7E1D@1
ircc_4483,5CE41B6F-25DD-BD04-ED36-B16510F8D510@1
