id,text,lang
ircc_1,HG&H Pharmaceuticals (Pty) Ltd may not transfer the materials of Sceletium tortuosum and associated traditional knowledge to any third party without a written consent of the issuing authority.,en
ircc_2,The user is prohibited from allowing access and use by unauthorized persons to the gross or information derived from the analysis without the prior consent of the provider&#10;&#9;&#9;,en
ircc_9,"&#10;&#9;&#9; In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_10,"&#10;&#9;&#9; In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_11,"&#10;&#9;&#9; 1. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_19,"El material será resguardado en el Colegio de Postgraduados y en el Centro Nacional de Recursos Genéticos (CNRG) del INIFAP, ubicado en Boulevard de la Biodiversidad No. 400, Col. Centro, Tepatitlán de Morelos, Jalisco, C.P. 47600",en
ircc_20,El personal técnico designado para realizar la colecta incluye 5 investigadores del Colegio de la Frontera Sur. El destino final del material será el Herbario ECOSUR CIQR y la Universidad de Nevada (USA),en
ircc_21,"El personal técnico designado para realizar la colecta incluye a 25 investigadores de diversas instituciones entre las que se encuentran: UNAM; CIIDIR-IPN Unidad Durango; INIFAP, Instituto de Biología de la UNAM; Universidad Autónoma del Estado de Hidalgo; Universidad de Guadalajara; Universidad de Guanajuato; Universidad Autónoma de Querétaro; Colegio de Postgraduados y Universidad Veracruzana.",en
ircc_23,"Los recursos biológicos forestales colectados al amparo del aviso de colecta y de éste Certificado, no podrán utilizarse en ningún caso con fines comerciales o distintos a los aquí establecidos.",en
ircc_27,"1. In case the user assigns/licenses the innovation/ process/ product to a third party for commercialization: T he Applicant shall pay 5% of the fee received by him in any form (including the license fee / assignee fee). He shall also pay 5% of the annual royalty amount received by him, on an annual basis, from the assignee/ licensee throughout the term of the agreement. OR The assignee/licensee shall enter into a tripartite agreement with the Applicant and the NBA, to pay 5% of the lump sum payment made by him to the licensor and also royalty @ 5% of the highest ex-factory sale price of the product sold and used for captive consumption to NBA. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_30,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. &#10;&#9;&#9; 2. In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_33,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee / licensee. &#10;&#9;&#9; 2. In case the user transfers the IPR to any third party by way of assignment or licensing , all rights and obligations under this agreement shall be binding upon the such person.",en
ircc_42,"El personal técnico designado para realizar la colecta incluye a 25 investigadores de diversas instituciones entre las que se encuentran: UNAM; CIIDIR-IPN Unidad Durango; INIFAP; Instituto de Biología de la UNAM; Universidad Autónoma del Estado de Hidalgo; Universidad de Guadalajara; Universidad de Guanajuato; Universidad Autónoma de Querétaro; Colegio de Postgraduados y Universidad Veracruzana,",en
ircc_43,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the royalty and/or license fee or Net sales, excluding government taxes and levies received annually from the assignee/licensee. 2. In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_44,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the net revenue ( in any form like royalty or license fee / assignee fee) excluding government taxes and levies received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person",en
ircc_45,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the net revenue (in any form including royalty/license fee/assign fee) excluding government taxes from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_46,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_47,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_48,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_49,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_50,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_51,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_52,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_53,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 5.0% of the fee received (in any form including the license / assignee fee) and 5.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_54,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_55,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 5.0% of the fee received (in any form including the license / assignee fee) and 5.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_56,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_57,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_58,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_59,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_60,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_61,The user shall pay 2% of the net Revenue (upfront/ licensing/ assignment/ royalty fee) annually during the term of this agreement.,en
ircc_62,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_64,"In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_65,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the royalty and/or license fee or Net sales, excluding government taxes and levies received annually from the assignee/licensee. 2. In case the user assigns or transfer the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",en
ircc_66,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the net revenue (in any form including royalty or license / assign fee) excluding government taxes received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
ircc_67,"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay 2.0% of the net revenue (in any form including royalty /license /assign fee) excluding government taxes and levies received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",en
