id,entity_id,entity_text,entity_label,entity_start,entity_end,entity_id_no,entity_lower,biocat,kingdom,canonical_name,scientific_name,taxon_id,parent_name_usage_id,accepted_name_usage_id,taxonomic_status,dataset_id,original_name_usage_id,scientific_name_authorship,generic_name,specific_epithet,infraspecific_epithet,taxon_rank,name_according_to,name_published_in,nomenclatural_status,taxon_remarks,phylum,class,order,family,genus,junk,multi,name_type,vernacular_source,multi_vernacular,accepted_id,species,iucn_red_list_category,bahamas,namibia,cameroon,kenya,madagascar,south_africa,model_organism,gbif_link
ircc_35,NA,Sechium edule,SPECIES,171,184,0,sechium edule,TRUE,Plantae,Sechium edule,Sechium edule (Jacq.) Sw.,2874612,2874611,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Sechium edule,NE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://www.gbif.org/species/2874612
ircc_254,NA,Phlebotomus mascittii,SPECIES,39,60,0,phlebotomus mascittii,TRUE,Animalia,Phlebotomus mascittii,"Phlebotomus mascittii Grassi, 1908",5886149,1640274,NA,accepted,e2116003-7282-4547-bf24-dabe0a0d76ee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Phlebotomus mascittii,NE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.gbif.org/species/5886149
ircc_702,NA,Simaba cedron,SPECIES,177,190,0,simaba cedron,TRUE,Plantae,Simaba cedron,Simaba cedron Planch.,3708913,7329598,9250677,homotypic synonym,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.gbif.org/species/3708913
ircc_704,NA,Cebus capucinus,SPECIES,71,86,0,cebus capucinus,TRUE,Animalia,Cebus capucinus,"Cebus capucinus (Linnaeus, 1758)",2436637,2436635,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Cebus capucinus,VU,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.gbif.org/species/2436637
ircc_704,NA,Cebus capucinus,SPECIES,157,172,0,cebus capucinus,TRUE,Animalia,Cebus capucinus,"Cebus capucinus (Linnaeus, 1758)",2436637,2436635,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Cebus capucinus,VU,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.gbif.org/species/2436637
ircc_704,NA,Cebus capucinus,SPECIES,421,436,0,cebus capucinus,TRUE,Animalia,Cebus capucinus,"Cebus capucinus (Linnaeus, 1758)",2436637,2436635,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Cebus capucinus,VU,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.gbif.org/species/2436637
ircc_731,NA,Adansonia digitata,SPECIES,91,109,0,adansonia digitata,TRUE,Plantae,Adansonia digitata,Adansonia digitata L.,5406695,3152213,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Adansonia digitata,NE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,https://www.gbif.org/species/5406695
ircc_874,NA,Chenopodium quinoa,SPECIES,119,137,0,chenopodium quinoa,TRUE,Plantae,Chenopodium quinoa,Chenopodium quinoa Willd.,3083935,3083823,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Chenopodium quinoa,NE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.gbif.org/species/3083935
ircc_3975,NA,Cardisoma crassum,SPECIES,95,112,0,cardisoma crassum,TRUE,Animalia,Cardisoma crassum,"Cardisoma crassum Smith, 1870",5863372,2225831,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Cardisoma crassum,NE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.gbif.org/species/5863372
ircc_3988,NA,Papio anubis,SPECIES,69,81,0,papio anubis,TRUE,Animalia,Papio anubis,"Papio anubis (Lesson, 1827)",5707341,5219585,NA,accepted,7ddf754f-d193-4cc9-b351-99906754a03b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxonomic,NA,NA,NA,Papio anubis,LC,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.gbif.org/species/5707341
